FactID,CustomerID,TotalSpent,TotalFrequency,ChurnFlag,Cluster
2,29672,3205.16,6,1,1
5,29565,5537.26,8,1,1
6,29898,167617.42,4,1,1
8,30052,21863.9,4,1,1
9,29974,87227.32,5,1,1
11,29747,20895.92,9,1,1
12,29566,29903.95,4,1,1
13,29890,14794.64,8,1,1
16,29596,41264.04,4,1,1
18,29811,170328.56,12,1,1
19,29824,92111.64,9,1,1
20,29889,303576.43,8,1,1
22,29759,29004.63,4,1,1
24,29912,92154.31,4,1,1
25,30084,9336.93,8,1,1
26,29606,16030.15,10,1,1
27,29610,18398.33,7,1,1
28,29718,102216.08,8,1,1
30,29533,93332.01,12,1,1
31,29570,61854.54,12,1,1
33,29491,98273.55,4,1,1
34,29549,238924.26,8,1,1
35,29958,173851.93,9,1,1
36,29849,5959.04,7,1,1
37,21768,4550.68,2,1,1
38,28389,3756.99,1,1,1
39,25863,5117.38,2,1,1
40,14501,3308.47,2,1,1
41,11003,8993.92,3,1,1
42,27645,6686.7,2,1,1
43,16624,6561.77,2,1,1
44,11005,8974.07,3,1,1
45,11011,8987.01,3,1,1
46,27621,6598.32,2,1,1
47,27616,6628.46,2,1,1
48,20042,3481.19,2,1,1
49,16351,6489.95,2,1,1
50,16517,5192.13,2,1,1
51,27606,6627.05,2,1,1
52,13513,6539.66,2,1,1
53,27601,3953.99,1,1,1
54,13591,9232.57,3,1,1
55,16483,4550.68,2,1,1
56,16529,5251.79,2,1,1
57,25249,2064.76,2,1,1
58,27668,6637.25,2,1,1
59,27612,3953.99,1,1,1
60,13264,8028.44,4,1,1
61,13590,9178.46,3,1,1
62,13581,9254.14,3,1,1
63,14520,1661.45,2,1,1
64,16520,5224.15,2,1,1
65,13258,9819.62,4,1,1
66,14560,1700.13,2,1,1
67,16607,6516.77,2,1,1
68,27666,3953.99,1,1,1
69,11238,8334.76,4,1,1
70,25861,3756.99,1,1,1
71,16629,6556.25,2,1,1
72,11025,7267.36,3,1,1
73,27577,3953.99,1,1,1
74,27604,3953.99,1,1,1
75,16522,5192.13,2,1,1
76,11002,8966.01,3,1,1
77,13261,7956.64,4,1,1
78,11606,6544.06,2,1,1
79,13563,6572.79,2,1,1
80,16527,5251.79,2,1,1
81,27671,6627.05,2,1,1
82,13576,9205.52,3,1,1
83,11007,9073.16,3,1,1
84,16631,6520.11,2,1,1
85,16514,5261.72,2,1,1
86,16616,6536.67,2,1,1
87,27623,6612.62,2,1,1
88,27625,6598.32,2,1,1
89,27636,6642.5,2,1,1
90,11591,6514.24,2,1,1
91,11592,6492.48,2,1,1
92,13265,8021.81,4,1,1
93,16482,5286.03,2,1,1
94,27617,6603.83,2,1,1
95,27670,6603.83,2,1,1
96,19941,3401.25,2,1,1
97,11017,7109.91,3,1,1
98,27646,6627.05,2,1,1
99,13257,9880.11,4,1,1
100,16352,6573.08,2,1,1
101,16493,4637.96,2,1,1
102,27578,3953.99,1,1,1
103,16525,5251.79,2,1,1
104,16612,6517.58,2,1,1
105,11010,8937.28,3,1,1
106,16518,5192.13,2,1,1
107,11001,7054.19,3,1,1
108,27649,3953.99,1,1,1
109,21659,4578.83,2,1,1
110,27614,3953.99,1,1,1
111,14559,1710.06,2,1,1
112,16524,5230.79,2,1,1
113,16526,5257.86,2,1,1
114,16348,6539.66,2,1,1
115,11027,7283.68,3,1,1
116,13260,7999.71,4,1,1
117,16515,5230.79,2,1,1
118,11018,7219.27,3,1,1
119,25252,2091.82,2,1,1
120,11599,6582.73,2,1,1
121,16495,6632.46,2,1,1
122,16516,5230.79,2,1,1
123,16620,6514.24,2,1,1
124,27667,6627.05,2,1,1
125,11601,6555.1,2,1,1
126,11607,6534.13,2,1,1
127,29385,3756.99,1,1,1
128,11239,8300.26,4,1,1
129,25865,5131.43,2,1,1
